CN编号,日期,武器系统,可能承包商,证据等级,判断依据,来源URL
22-16,2022-04-05,Patriot contractor tech assist,RTX/Raytheon,A,国会记录版 DSCA 通知直接写明 principal contractor 为 Raytheon Technologies；这是 Patriot 系统承包商技术协助案，而非 PAC-3 导弹单独采购。,https://www.congress.gov/117/crec/2022/04/06/168/61/CREC-2022-04-06-senate.pdf
22-22,2022-06-08,Ship spare parts,暂无（美国海军库存/合格供应商体系）,C,Federal Register 版通知写明本案主要来自 U.S. Navy stock，且不列单一 principal contractor；这类舰艇备件更适合视为库存转移加合格供应商保障，而非明确 prime。,https://www.federalregister.gov/documents/2024/05/24/2024-11526/arms-sales-notification
22-31,2022-07-15,Blanket Order Contractor Technical Assistance Support,暂无（DLA 批准供应商框架）,C,DSCA 原文明确写 principal contractor(s) 将从 DLA 批准供应商中确定，且项目覆盖坦克/战斗车辆备件与技术支持，不存在单一明确 prime。,https://media.defense.gov/2024/Dec/18/2003615492/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2022-31%20CN.PDF
22-44,2022-09-02,Contract Logistics Support for Surveillance Radar Program (SRP),RTX/Raytheon,A,Federal Register 版通知直接写明 principal contractor 为 Raytheon Technologies；本案不是新雷达采购，而是现有 SRP 的合同后勤保障。,https://www.federalregister.gov/documents/2024/06/28/2024-14188/arms-sales-notification
22-45,2022-09-02,Harpoon Block II missiles,Boeing,B,Harpoon Block II 导弹属于 Boeing 官方武器产品线。,https://www.boeing.com/defense/weapons/
22-46,2022-09-02,AIM-9X Sidewinder missiles,RTX/Raytheon,B,AIM-9X 为 Raytheon/RTX 官方产品。,https://www.rtx.com/raytheon/what-we-do/sea/aim-9x-sidewinder-missile
22-55,2022-12-06,Aircraft standard spare parts,暂无（政府库存/多家航空平台 OEM）,C,Federal Register 版通知明确写明 no principal contractors 且主要来自 U.S. Government stock，因此只能保留多平台维保链的宽口径判断。,https://www.federalregister.gov/documents/2024/08/21/2024-18761/arms-sales-notification
22-56,2022-12-06,Aircraft non-standard spares,暂无（政府库存/多家航空平台 OEM）,C,Federal Register 版通知明确写明 no principal contractors 且主要来自 U.S. Government stock，因此不宜强指具体厂商。,https://www.federalregister.gov/documents/2024/08/21/2024-18760/arms-sales-notification
22-70,2022-12-28,Volcano anti-tank munitions,Northrop Grumman; Oshkosh Defense,A,Federal Register 版通知直接写明 principal contractors 为 Northrop Grumman 与 Oshkosh Defense。,https://www.federalregister.gov/documents/2024/08/26/2024-19128/arms-sales-notification
23-09,2023-03-01,HARM + AMRAAM missiles,RTX/Raytheon,B,AMRAAM 为 Raytheon 官方产品；RTX 年度材料亦将 HARM 列为 Raytheon 产品线。,https://www.rtx.com/raytheon/what-we-do/air/amraam-missile | https://investors.rtx.com/static-files/f4a0c1a8-e3bf-4518-8003-76a4899b0ab4
23-38,2023-06-29,Vehicle/weapon spare parts,暂无（DLA 合格供应商/多家地面平台厂商）,C,Federal Register 版通知明确写明 principal contractor 将从 U.S. Defense Logistics Agency 的合格供应商中确定，因此属于开放式维保/备件框架，而非单一主承包商。,https://www.federalregister.gov/documents/2024/10/11/2024-23551/arms-sales-notification
23-44,2023-06-29,30mm ammunition for CM-32,Alliant Techsystems Operations LLC; General Dynamics Ordnance and Tactical Systems,A,Federal Register 版通知直接写明 principal contractors 为 Alliant Techsystems Operations LLC 与 General Dynamics Ordnance and Tactical Systems。,https://www.federalregister.gov/documents/2024/10/11/2024-23553/arms-sales-notification
23-25,2023-08-23,F-16 IRST system,Lockheed Martin,B,Lockheed Martin 的 IRST21 / Legion-ES 明确面向 F-16 平台，DSCA 标题与系统能力对应。,https://www.lockheedmartin.com/en-us/news/features/2020/lockheed-martin-unveils-upgraded-sensor-suite-for-new-production-f-16.html | https://www.lockheedmartin.com/en-us/products/legion-pod.html
23-82,2023-12-15,C4 Life Cycle Support,暂无（竞争采购）,C,Federal Register 版通知写明 principal contractor 将通过 competitive processes 选定，因此不能把 Link 16/C4ISR 生态中的厂商直接当作已确认承包商。,https://www.federalregister.gov/documents/2024/12/19/2024-30308/arms-sales-notification
24-09,2024-02-21,Tactical Data Link upgrade,暂无（竞争采购）,C,Federal Register 版通知写明 principal contractor 将通过 competitive processes 选定；虽然战术数据链升级很可能落在 MIDS/Link 16 生态，但官方并未确认具体厂商。,https://www.federalregister.gov/documents/2025/01/08/2025-00154/arms-sales-notification | https://www3.rockwellcollins.com/dls/MIDS-JTRS-01-08.pdf
24-41,2024-06-05,F-16 Non-Standard Spare and Repair Parts,暂无（美空军库存转移）,C,DSCA PDF 明确写明本案备件来自 U.S. Air Force stock，未点名 principal contractor；可知与 F-16 维保链有关，但不能直接等同于 Lockheed Martin 承包案。,https://media.defense.gov/2024/Dec/18/2003615480/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-41%20CN.PDF
24-42,2024-06-05,F-16 Standard Spare and Repair Parts,暂无（美空军库存转移）,C,DSCA PDF 明确写明本案备件来自 U.S. Air Force stock，未点名 principal contractor；因此应视作库存/保障案，而非明确 OEM 承包案。,https://media.defense.gov/2024/Dec/18/2003615481/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-42%20CN.PDF
24-47,2024-06-18,Switchblade 300,AeroVironment,B,Switchblade 300 为 AeroVironment 官方产品。,https://www.aerovironment.com/switchblade-300/
24-56,2024-06-18,ALTIUS 600M-V UAVs,Anduril Industries,B,ALTIUS-600M / 700M 为 Anduril 官方产品线。,https://www.anduril.com/altius | https://blog.anduril.com/anduril-announces-best-in-class-loitering-munition-8b00a72aba2a
24-81,2024-09-16,Aircraft spare parts,暂无（政府库存/多家航空平台 OEM）,C,Federal Register 版通知明确写明主要来自 U.S. Government stock，且 no principal contractors，因此只能保留多平台维保链的宽口径判断。,https://www.federalregister.gov/documents/2025/11/21/2025-20512/arms-sales-notification
24-48,2024-10-25,NASAMS air defense,Kongsberg Defence & Aerospace; RTX/Raytheon,B,NASAMS 为 Kongsberg / Raytheon 官方联合产品，Kongsberg 官方页直接写明。,https://www.kongsberg.com/kda/what-we-do/defence-and-security/integrated-air-and-missile-defence/nasams-air-defence-system/
24-57,2024-10-25,AN/TPS-77/78 radar,Lockheed Martin,B,AN/TPS-77 为 Lockheed Martin 官方产品；台湾案标题直接对应该雷达家族。,https://www.lockheedmartin.com/en-us/products/ground-based-air-surveillance-radars/tps-77.html
24-103,2024-11-29,Spare Parts and Support for F-16 Aircraft and Active Electronically Scanned Array Radars,Lockheed Martin; Northrop Grumman,C,虽然 F-16 机体与 AESA 雷达生态分别强关联 Lockheed Martin 与 Northrop Grumman，但 DSCA PDF 写明本案主要来自 U.S. Government stock，未点名 principal contractor，因此只能保留为低等级候选。,https://media.defense.gov/2024/Dec/18/2003615491/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-103%20CN.PDF | https://www.northropgrumman.com/news/northrop-grummans-apg-83-scalable-agile-beam-radar-production-to-begin-for-international-f-16s
24-112,2024-11-29,Improved Mobile Subscriber Equipment Follow-On Support,General Dynamics Mission Systems,A,DSCA PDF 直接写明 principal contractor 为 General Dynamics Mission Systems。,https://media.defense.gov/2024/Dec/18/2003615484/-1/-1/0/PRESS%20RELEASE%20-%20TECRO%2024-112%20CN.PDF
25-01,2024-12-20,MK 75 76mm gun mounts,Leonardo,B,MK 75 76mm 舰炮对应 OTO Melara / Leonardo 76/62 系列。,https://www.leonardo.com/en/news-and-stories-detail/-/detail/oto-melara-on-board-of-iraqi-corvettes | https://electronics.leonardo.com/documents/16277707/18404219/Cannone%2BOTO%2B76_62%2BSR.pdf
25-04,2024-12-20,C4 Modernization MIDS JTRS,Data Link Solutions; ViaSat,C,MIDS JTRS V5 终端长期由 Data Link Solutions 与 ViaSat 生产，但 Federal Register 版通知写明 principal contractors 将通过 competitive procurements 选定，因此更适合作为高可信候选而非已确认 prime。,https://www.federalregister.gov/documents/2026/01/12/2026-00367/arms-sales-notification | https://www3.rockwellcollins.com/dls/MIDS-JTRS-01-08.pdf
25-73,2025-11-13,Non-standard spares F-16/C-130/IDF,暂无（政府库存/多家平台 OEM 与子系统商）,C,DSCA 页面写明本案备件来自 U.S. Government stock，且未列出 principal contractor；虽然 F-16/C-130 与 Lockheed Martin 相关，但本案更像库存转移加后勤支持，而非明确 OEM 承包案。,https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-49
26-09,2025-12-17,ALTIUS-700M and ALTIUS-600 Systems,Anduril Industries,A,Anduril 官方明确列示 ALTIUS-700M、ALTIUS-600/600M 系列；台湾 2026-03 收货报道也直接点名 Anduril。,https://www.anduril.com/altius | https://tsm.schar.gmu.edu/category/weekly-arms-updates/
26-07,2025-12-17,Harpoon repair follow-on,Boeing,B,Harpoon 导弹与相关后续修理支持逻辑上指向 Boeing 作为家族 prime。,https://www.boeing.com/defense/weapons/
26-06,2025-12-17,Javelin missiles,Javelin Joint Venture (Raytheon/RTX; Lockheed Martin),A,RTX 官方 Javelin 页面直接写明该系统由 Javelin Joint Venture 生产，系 Raytheon 与 Lockheed Martin 合作。,https://www.rtx.com/ar/raytheon/what-we-do/land/javelin-missile | https://www.rtx.com/news/news-center/2024/08/29/us-army-awards-the-javelin-joint-venture-contract
26-02,2025-12-17,"Tube-launched, Optically tracked, Wire-guided missile system",RTX/Raytheon,A,RTX/Raytheon 官方 TOW 产品页直接对应该系统全称。,https://www.rtx.com/raytheon/what-we-do/land/tow-weapon-system
26-01,2025-12-17,HIMARS + ATACMS + GMLRS,Lockheed Martin,B,HIMARS、ATACMS、GMLRS 均属 Lockheed Martin Precision Fires 产品线。,https://www.lockheedmartin.com/us/products/himars.html | https://www.lockheedmartin.com/content/dam/lockheed-martin/mfc/documents/business-area-landing/23-06047-mfc-fast-facts-GMLRS.pdf
25-108,2025-12-17,M109A7 Self-Propelled Howitzers,BAE Systems,A,BAE Systems 官方材料明确写明 M109A7 Self-Propelled Howitzer 由其持续生产交付。,https://www.baesystems.com/en-us/article/2017-full-year-results | https://www.baesystems.com/en/product/ground-vehicle-seating?componentId=contentListing-d5e50159-f714-430b-9212-cd597eb00200&searchPageNo=8
25-93,2025-12-17,AH-1W helo spare parts,Bell Textron,C,AH-1W Super Cobra 为 Bell 平台；备件支持案最可能围绕 Bell 的 H-1 家族 sustainment。,https://news.bellflight.com/en-US/192399-united-states-marines-retire-bell-ah-1w-after-34-years-of-service
25-56,2025-12-17,Tactical Mission Network,暂无（竞争采购）,C,DSCA 页面写明 principal contractor(s) 将通过 competitive procurements 选定；现阶段只能把其视作战术网络/C4ISR 厂商群的开放候选。,https://www.dsca.mil/press-media/major-arms-sales/taipei-economic-and-cultural-representative-office-united-states-tactica
