id,title,authors,year,journal,journal_tier,doi,citations,topics,priority,notes_zh,data_zh,method_zh,nber_wp,read_status,added_date
chachko_newman_2025,Building norms of economic coercion,Elena Chachko; Abraham L. Newman,2025,Journal of International Economic Law,T3,10.1093/jiel/jgaf035,1,"T1, T5",recommended,从法学和国际规范角度评估经济胁迫的合法性边界：多边且促进公共品的措施推定合法，单边且出于狭隘目的的面临合法性质疑，但若满足throughput legitimacy二级标准则可减轻批评。为'管住经济武器'提供规范路线图。JIEL发表。,无实证数据（规范性法学分析论文）,法学规范分析——基于input legitimacy(谁制定规则)/output legitimacy(为何目的)/throughput legitimacy(通过什么手段)三维评估框架,,unread,2026-03-29
hassan_mertens_wang_2025,Trade War and the Dollar Anchor,Tarek A. Hassan; Thomas Mertens; Jingye Wang; Tony Zhang,2025,National Bureau of Economic Research,WP,10.3386/w34332,2,"T1, T2",recommended,贸易战通过侵蚀美元安全溢价→推高美国利率→降低美国企业市值的链条运作。足够高的关税将触发小型经济体从美元重新锚定为欧元，引发向欧元中心国际货币体系的相变(phase shift)和全球福利损失。贸易战可能威胁美国从美元国际地位获得的金融特权。,校准至pre-2025数据（美元安全溢价、国债收益率、锚定货币实际数据）,一般均衡模型——货币安全性和汇率制度内生决定，分析关税如何通过隔离美国商品市场来侵蚀美元安全溢价,w34332,unread,2026-03-29
cavani_clayton_dos_santos_2026,American Investment in Chinese Renminbi,Bruno Cavani; Christopher Clayton; Amanda Dos Santos; Matteo Maggiori; Jesse Schreger,2026,SocArXiv Working Paper,WP,10.31235/osf.io/anxmr_v2,0,"T1, T5",recommended,2024年全球外国投资者增持中国债券的同时，美国机构投资者持仓急剧下降——主要表现为整支基金完全退出人民币头寸而非部分减持。中国外国投资者基础正从美国机构转向其他来源。地缘经济压力下金融脱钩的基金级微观实证。,SEC Form N-PORT微观数据——美国共同基金和ETF的逐基金逐持仓人民币(RMB)债券数据,微观实证——追踪基金层面的人民币债券持仓变化，区分'减持'与'完全退出'(exit)两种调整模式,,unread,2026-03-29
maggiori_schreger_clayton_2026,Global Imbalances and Power Imbalances,Matteo Maggiori; Jesse Schreger; Christopher Clayton,2026,SocArXiv Working Paper,WP,10.31235/osf.io/u374c_v1,0,"T1, T5",core,中国作为大型外国债权人、美国作为大型外国债务人——这种全球失衡何时也构成权力失衡？提出理论渠道和实证度量建议。Clayton/Maggiori/Schreger地缘经济三部曲的前瞻性议程设定论文。,概念性讨论论文，引用中国外国债权人地位和美国外债数据,理论讨论——分析全球经常账户失衡何时转化为地缘权力失衡的理论条件和潜在渠道,,unread,2026-03-29
auclert_rognlie_straub_2025,The Macroeconomics of Tariff Shocks,Adrien Auclert; Matthew Rognlie; Ludwig Straub,2025,National Bureau of Economic Research,WP,10.3386/w33726,16,T2,core,临时关税在进口弹性低于出口弹性和跨期替代弹性的开放度加权平均时引发衰退（耐用品强化此条件，因为耐用品的跨期替代弹性很高）。报复使衰退加深且贸易逆差恶化。考虑衰退效应后，标准贸易理论的最优单边关税水平大幅降低。16引用，该库最高引论文。,校准参数：美国进出口弹性、中间投入品贸易份额、耐用品份额、跨期替代弹性,开放经济新凯恩斯DSGE模型+中间投入品贸易——区分临时vs永久关税、单边vs报复性关税的短期宏观效应,w33726,unread,2026-03-29
ossa_redding_2026,The Economics of Tariffs,Ralph Ossa; Stephen Redding,2026,National Bureau of Economic Research,WP,10.3386/w34915,0,T2,core,2018-2025美国关税实证总结：大部分关税负担由美国进口商/批发商/零售商/消费者承担而非外国出口商；关税已导致供应链从中国大规模转向第三国，但美国通过这些第三国的进口仍间接依赖中国。关税经济学的权威框架综述+最新证据汇编。Ossa-Redding力作。,综述论文——系统整合2018-2025年美国关税实证研究文献的结果，含供应链重组数据,综述——从新古典贸易理论系统推导关税的福利/分配/产业结构效应，整合最新微观实证发现,w34915,unread,2026-03-29
gopinath_neiman_2026,The Incidence of Tariffs: Rates and Reality,Gita Gopinath; Brent Neiman,2026,National Bureau of Economic Research,WP,10.3386/w34620,1,T2,core,2025年法定关税率达百年最高但实际实施率仅约法定率一半（航运滞后/豁免/执行缺口缓冲了影响）。然而关税对进口价格传递率接近100%——即几乎全部由美国进口方承担。对采购来源、国内制造成本和美元的含义做了延伸讨论。Gopinath(IMF首席经济学家)+Neiman力作。,2018-2019和2025年美国关税的法定税率vs实际实施税率数据、进口价格传递(passthrough)微观数据,经验分析——比较法定关税率vs实际实施率（考虑航运滞后/豁免/执行缺口），测量border-level关税传递率,w34620,unread,2026-03-29
cavallo_llamas_vazquez_2025,Tracking the Short-Run Price Impact of U.S. Tariffs,Alberto Cavallo; Paola Llamas; Federico Vázquez,2025,National Bureau of Economic Research,WP,10.3386/w34496,7,T2,core,2025年3月广泛关税措施后价格立即开始上涨，进口商品涨幅为国内商品两倍。零售端关税传递率约20%，累计对CPI贡献约0.7个百分点(截至2025年9月)。关税溢出效应也波及国内商品。使用实时零售微观数据，比官方CPI更快捕捉关税影响。7引用。,主要美国零售商的高频日度(daily)零售微观价格数据，匹配产品级关税税率和原产国信息,高频事件研究——按日追踪零售价格变化，构建产品级关税传导价格指数，区分进口商品vs国内商品的价格变动,w34496,unread,2026-03-29
caliendo_kortum_parro_2025,Tariffs and Trade Deficits,Lorenzo Caliendo; Samuel Kortum; Fernando Parro,2025,National Bureau of Economic Research,WP,10.3386/w34003,7,T2,core,方法论创新：提出在有贸易失衡和资产贸易的动态模型中计算反事实的新方法，无需指定冲击随机过程。应用于关税冲击：美国关税确实通过一般均衡调整减少贸易逆差，但代价是国内价格上升和实际消费下降。7引用。Caliendo-Kortum-Parro(2015 AER)经典框架的动态扩展。,多国贸易流量数据（用于校准多国李嘉图贸易模型，含商品和资产贸易）,动态多国李嘉图贸易模型+资产贸易/贸易失衡——提出无需指定冲击随机过程或求解资产价格即可计算反事实的新方法,w34003,unread,2026-03-29
clausing_obstfeld_2025,Tariffs as Fiscal Policy,Kimberly A. Clausing; Maurice Obstfeld,2025,National Bureau of Economic Research,WP,10.3386/w34192,1,T2,recommended,分析2025年特朗普用关税替代所得税作为联邦收入来源的财政含义：关税维持夏季水平可产生大量收入，但效率损失高达收入的三分之一，税制累进性下降，且产生大型负供给冲击（同时推高价格和抑制经济活动）。Obstfeld参与。,2025年夏美国关税收入预估、联邦所得税收入结构、税制累进性分布测算数据,财政政策分析——关税收入规模/效率损失/累进性比较+宏观冲击评估（关税作为负供给冲击的框架）,w34192,unread,2026-03-29
flaaen_hortacsu_tintelnot_2025,Who Pays for Tariffs Along the Supply Chain? Evidence from European Wine Tariffs,Aaron Flaaen; Alı Hortaçsu; Felix Tintelnot; Nicolás Urdaneta; Daniel Yi Xu,2025,National Bureau of Economic Research,WP,10.3386/w34392,1,"T2, T3",core,2019-2021美国对欧洲葡萄酒关税：边境传递不完全但国内加价效应放大，使消费者支付超过政府关税收入。进口商利润率压缩而分销商/零售商利润扩大。价格效应沿链条需约一年才传到零售端。还发现行业系统性进行'关税工程'(tariff engineering)规避税率，导致标准贸易统计的单位值偏差。,美国大型葡萄酒进口商的保密交易级(transaction-level)价格数据：从外国供应商采购价→美国分销商批发价→零售价的完整供应链价格，含2019-2021美欧葡萄酒关税,供应链价格传导分析——追踪产品级价格沿'外国生产商→进口商→分销商/零售商→消费者'链条的变化，分解各环节利润率调整,w34392,unread,2026-03-29
benguria_saffie_2025,"Rounding up the Effect of Tariffs on Financial Markets: Evidence from April 2, 2025",Felipe Benguria; Felipe Saffie,2025,National Bureau of Economic Research,WP,10.3386/w34036,4,T2,recommended,巧妙利用4月2日关税公告的取整设计构造准实验：取整部分（不可预期冲击）对金融市场的影响是逆差部分的一个数量级大。关税每上升1个百分点股市下跌0.23%。出人意料地未发现美元升值——高关税国货币反而相对美元升值（浮动汇率国），与美元计价+贸易转移模型一致。,2025年4月2日特朗普关税公告——利用公告中关税率='双边逆差的取整值'这一设计，取整(rounding)部分构成不可预期冲击；各国股价和汇率数据,事件研究+准实验设计——将关税分解为基于逆差的可预期部分和取整产生的不可预期部分，用后者识别金融市场的因果反应,w34036,unread,2026-03-29
becko_grossman_helpman_2025,Optimal Tariffs with Geopolitical Alignment,John Becko; Gene M. Grossman; Elhanan Helpman,2025,National Bureau of Economic Research,WP,10.3386/w34108,3,"T2, T5",core,地缘政治关切激活时最优关税超过经典Mill-Bickerdike水平。两极世界中最优关税反映经济和政治双重竞争，可互为战略互补或替代。校准显示地缘政治动机可显著放大保护主义压力，第二大国崛起加速反全球化。Grossman-Helpman将地缘政治引入最优关税理论的新作。,联合国投票数据(衡量政治联盟)、联合国投票'买票'成本估计(引用Kuziemko & Werker)、各国军事支出数据,最优关税理论模型——单极(一个霸权)和两极(两个大国竞争)博弈设定，大国在经济福利与小国政治忠诚之间权衡；用UN投票和军事支出数据校准,w34108,unread,2026-03-29
rodrik_2025,What the Mercantilists Got Right,Dani Rodrik,2025,National Bureau of Economic Research,WP,10.3386/w34353,3,"T2, T5",core,Rodrik重新评估被主流经济学否定的重商主义思想——哪些在当今地缘经济竞争和产业政策回归语境下是正确的？3引用。无摘要——需阅读全文。,经济思想史文献（具体数据待读全文确认——无摘要）,经济思想史分析（具体方法待读全文确认——无摘要）,w34353,unread,2026-03-29
schmitt_grohe_uribe_2025,Transitory and Permanent Import Tariff Shocks in the United States: An Empirical Investigation,Stephanie Schmitt‐Grohé; Martı́n Uribe,2025,National Bureau of Economic Research,WP,10.3386/w33997,3,T2,recommended,关税运动中约80%是临时性冲击：临时关税既不通胀也不收缩，减少进口改善贸易差额；永久关税引发一次性价格上升和短暂货币紧缩但贸易差额无显著变化。整体上关税冲击在美国历史上（含Nixon 1971/Ford 1975/Trump 2018）是较次要的经济波动驱动力。Schmitt-Grohé & Uribe的新作。,美国战后关税时间序列(1947-2025)，宏观变量：通胀/GDP/贸易差额/利率/货币政策,结构VAR——将关税运动分解为临时性冲击(约占80%)和永久性冲击(约占20%)，识别各自的动态宏观效应,w33997,unread,2026-03-29
anderson_yotov_2025,Tariff Reciprocity,James Anderson; Yoto V. Yotov,2025,National Bureau of Economic Research,WP,10.3386/w34052,2,T2,recommended,批评USTR用进口加权平均关税排名各国保护度的做法——该指标无理论基础且有严重内生性(高关税抑制进口→降低权重)。提出理论一致的关税指数，与WTO互惠市场准入原则对齐，可清晰分解各国买方与卖方关税负担。对'对等关税'政策有直接政策含义。,全球数千个HS品目的双边关税率数据,引力模型理论——提出'进口量等价统一关税'(import volume equivalent uniform tariff)指数，可分解为各国买方和卖方关税负担,w34052,unread,2026-03-29
adao_becko_costinot_2026,World Trading System For Whom? Evidence from Global Tariffs,Rodrigo Adão; John Becko; Arnaud Costinot; Dave Donaldson,2026,National Bureau of Economic Research,WP,10.3386/w34658,0,T2,core,结构估计显示各国平均对外国人福利的权重比本国少25%——全球贸易体系规则确实让各国内化了对他国的影响但不完全。高权重国家也倾向于获得他国更高的权重回报（广义互惠）。首次量化世界贸易体系解体时各国的得失分配。Costinot-Donaldson新作。,全球双边产品级关税数据,结构估计——从各国实际关税设定中反推其隐含的对外国福利权重(welfare weights)，分析互惠性和贸易体系解体的分配效应,w34658,unread,2026-03-29
juhasz_lane_oehlsen_2025,Measuring Industrial Policy: A Text-Based Approach,Réka Juhász; Nathaniel Lane; Emily Oehlsen; Veronica C. Perez,2025,National Bureau of Economic Research,WP,10.3386/w33895,1,T2,core,用NLP/ML对政策文本自动分类，比GTA手动编码多识别出300%的产业政策实例。四大发现：(1)全球产业政策正在上升；(2)现代IP偏好补贴和出口促进而非关税；(3)富国在IP使用上占绝对主导；(4)IP倾向瞄准已有比较优势的部门（尤其在高收入国家）。Juhász-Lane产业政策量化研究的里程碑。,GTA(Global Trade Alert)数据库的全球商业政策文本描述(2010-2022)，逐政策文本,监督机器学习(文本分类)——训练分类器自动区分产业政策vs其他商业政策，解决传统手动编码将IP与其他政策混淆的问题,w33895,unread,2026-03-29
ju_li_wei_2026,The United States as an Active Industrial Policy Nation,Jiandong Ju; Yuankun Li; Shang-Jin Wei,2026,National Bureau of Economic Research,WP,10.3386/w34744,0,T2,recommended,扫描1973-2022年全部国会法案和总统行政令，发现美国年均5.4部法律+3.4项行政令含产业政策，远超GTA数据库记录(300%+)。产业政策以国家安全为由与以经济竞争力为由几乎各半。许多政策内含到期日和试点设计等缓解机制。挑战'美国不搞产业政策'的传统叙事。Wei(Columbia)力作。,"全部12,167项美国国会法案(Congressional Acts)和6,030项总统行政令(Presidential Orders, 1973-2022)的全文文本扫描",全量法律文本扫描+编码——从法律和行政令中逐条识别含产业政策的条款，辅以股票市场反应事件研究验证经济显著性,w34744,unread,2026-03-29
erten_stiglitz_verhoogen_2026,Employment Impacts of the CHIPS Act,Bilge Erten; Joseph Stiglitz; Eric Verhoogen,2026,National Bureau of Economic Research,WP,10.3386/w34625,0,"T2, T4",core,"CHIPS法案效应始于参议院通过前体法案时（预期效应）。受影响县每县增加110-180个就业岗位，建筑业就业也正向显著。粗估全国直接效应约15,000-16,000个半导体岗位+28,000-35,000个间接岗位。美国半导体产业政策的首批因果效应证据。Stiglitz参与。",QCEW(季度就业与工资普查)的行业×县级季度面板数据，区分有半导体设施县vs高科技县、晶圆代工厂县vs非代工半导体县,县级双重差分(DID)——两种设计：(1)有半导体设施的县vs其他高科技县；(2)有晶圆厂(fabrication)的县vs非制造半导体县,w34625,unread,2026-03-29
steinberg_2025a,"Tariffs, Manufacturing Employment, and Supply Chains",Joseph B. Steinberg,2025,National Bureau of Economic Research,WP,10.3386/w34236,2,"T2, T3",recommended,关税长期可增加制造业总就业但短期可能减少——且跨部门再分配效应(工人在四部门间重新流动)远大于总就业变化。上游关税通过提高中间投入成本影响下游就业——供应链传导是理解关税就业效应的关键。,校准参数：美国制造业四个代表性部门（上游高弹性'石油'/上游低弹性'钢'/下游高弹性'玩具'/下游低弹性'汽车'）,动态一般均衡模型+供应链调整摩擦——四部门制造业(上/下游×高/低贸易弹性)的短期vs长期就业变动,w34236,unread,2026-03-29
steinberg_2025b,Trade Policy Ambiguity,Joseph Steinberg,2025,National Bureau of Economic Research,WP,10.3386/w34408,2,T2,recommended,Knight不确定性(不知道关税分布)与标准贸易政策风险(知道分布但不知实现值)的效应区别：两者都减少出口参与，但ambiguity还使贸易对关税上限更敏感、对关税上升概率更不敏感。对持久性贸易改革的响应被抑制，而对临时性改革的响应被放大。,基于模型的定量分析（理论模型校准）,动态贸易模型+Knight不确定性(ambiguity)——含沉没出口成本的模型，企业面对未来关税分布未知(而非仅实现值未知)的决策,w34408,unread,2026-03-29
hankins_momeni_sovich_2026,Consumer Credit and the Incidence of Tariffs: Evidence from the Auto Industry,Kristine Watson Hankins; Morteza Momeni; David Sovich,2026,American Economic Review,T1,10.1257/aer.20230432,0,T2,recommended,发现关税影响商品价格之外的渠道：金属关税后汽车制造商金融子公司系统性提高贷款利率（将成本通过融资条件传导给消费者）。低收入借款人和竞争较弱地区受影响更大(disparate impact)。仅看商品价格会显著低估关税传递。AER发表。,汽车贷款微观数据——captive finance subsidiaries(汽车制造商金融子公司)vs不受影响的独立贷款机构(noncaptive lenders)的利率和放贷条件,双重差分(DID)——受金属关税影响的captive汽车贷款机构vs未受影响的noncaptive贷款机构，关税前后利率差异,,unread,2026-03-29
mazzucato_rodrik_2026,Industrial policy with conditionalities: a taxonomy and sample cases,Mariana Mazzucato; Dani Rodrik,2026,Industrial and Corporate Change,T3,10.1093/icc/dtaf063,0,T2,recommended,提出产业政策附加条件(conditionalities)的系统分类——政府如何在补贴/招标/合同/税收优惠中设定条件以确保产业补贴产生公共利益而非私人寻租。涵盖全球正反面案例。Mazzucato(mission-oriented创新)与Rodrik(industrial policy)的合作。ICC发表。,全球产业政策案例集——招标/资助协议/合同/税收激励中条件设计的正面和负面实践案例,分类学(taxonomy)构建+案例研究——系统分类政府在各种产业政策工具中可附加的条件类型,,unread,2026-03-29
alfaro_chor_2025,An Anatomy of the Great Reallocation in US Supply Chain Trade,Laura Alfaro; Davin Chor,2025,National Bureau of Economic Research,WP,10.3386/w34490,2,T3,core,六大事实：(1)美国与中国脱钩但未与世界脱钩；(2)进口主要在前20大伙伴间重分配；(3)越南/墨西哥/台湾份额上升；(4)多为产品层面集约边际调整(但越南/印度在2021-24转向广延边际)；(5)2021后脱钩扩展到合同密集型和关系粘性商品；(6)Liberation Day后重组加速。供应链脱钩已将美国对华采购倒退至入世前水平。Alfaro-Chor'大重组'系列最新篇。,美国进口的产品级×来源国月度数据(2010-2025)，含2025年4月Liberation Day后早期贸易数据,局部线性投影(local linear projections)——追踪中国在各产品进口份额的动态变化，区分集约边际(intensive)vs广延边际(extensive)调整,w34490,unread,2026-03-29
wang_wei_yu_2025a,Accounting for Global Supply Chains: An Integrated Framework That Incorporates Foreign Invested Firms,Zhi Wang; Shang‐Jin Wei; Xinding Yu; Kunfu Zhu,2025,National Bureau of Economic Research,WP,10.3386/w34073,0,T3,recommended,方法论突破：将FIE纳入全球供应链度量后，GSC活动规模比现有GVC指标大三倍。区分上游/下游/双向GSC参与，区分贸易/FDI/两者兼有的参与模式。调和净/毛分解方法，提供GSC参与度和风险暴露度的全面视角。Wei(Columbia)供应链核算新框架。,多国投入产出表(区分外商投资企业FIE与内资企业)、双边贸易和FDI数据,统一核算框架——整合总产出/贸易/增值分解，正式纳入外商投资企业(FIE)，扩展垂直专业化(VS)指标至国内供应链,w34073,unread,2026-03-29
wang_wei_yu_2025b,Measuring FDI and Trade-related Interdependence Across Countries: The Case of the United States and China,Zhi Wang; Shang‐Jin Wei; Xinding Yu; Kunfu Zhu,2025,National Bureau of Economic Research,WP,10.3386/w34226,0,"T3, T5",recommended,传统贸易统计和增值贸易统计都低估了中美经济相互依赖——需要同时考虑通过第三国的间接价值流和外商投资企业的角色。超越贸易增值和总贸易统计，为'脱钩'讨论提供更精确的依赖度测量。Wang-Wei-Yu核算框架的首个重要应用。,基于Wang et al. 2025a新框架的中美双边投入产出数据，含FIE/贸易/FDI的完整价值流,经济依赖度度量——三种依赖指标(上游供给依赖/下游市场依赖/消费者供应链依赖)，纳入第三国间接价值流,w34226,unread,2026-03-29
concordel_ho_knittel_2026,The Differential Impacts of Critical Mineral Prices and Oil Prices on the Economy,Adrien Concordel; Phuong Ho; Christopher Knittel,2026,National Bureau of Economic Research,WP,10.3386/w34847,0,T3,recommended,矿物vs石油价格冲击的关键差异：油价冲击影响现有资本使用成本(更即时的GDP/福利收缩)，矿物价格冲击影响新资本创造成本(更大的投资/资本/外部借贷调整但对产出影响更小更渐进)。资本充裕经济体中矿物涨价甚至可能小幅提高长期就业。能源转型时代的宏观经济学新课题。,关键矿物价格时间序列(锂/钴/稀土等)、油价时间序列、宏观经济变量(产出/投资/就业/福利),新古典增长模型——关键区分：矿物价格影响新资本创造成本(如电动车)而非现有资本使用成本；油价则影响现有资本使用成本(如传统汽车),w34847,unread,2026-03-29
choi_cui_shim_2025,The Dynamics of Technology Transfer: Multinational Investment in China and Rising Global Competition,Jaedo Choi; George Cui; Younghun Shim; Yongseok Shin,2025,National Bureau of Economic Research,WP,10.3386/w34284,0,"T4, T5",core,合资企业越多的行业中中国企业表现越好、美国企业越差——'特洛伊木马'效应。短期合资收益被长期中国竞争对手崛起抵消。模拟1999年起禁止合资可提高美国福利1.2%。大企业从合资获益而小企业和工人受损。对技术脱钩辩论的核心实证。,美国跨国公司在中国合资企业(joint ventures)微观数据、行业层面技术外溢指标(中国企业专利/效率提升)、美中企业财务表现对比,行业面板实证+双国寡头竞争创新理论模型——合资企业密度与中国企业正向溢出/美国企业负向影响的行业相关性；反事实模拟1999年起禁止合资的福利效应,w34284,unread,2026-03-29
furnas_jia_roberts_2026,Geopolitics in the Evaluation of International Scientific Collaboration,Alexander C. Furnas; Ruixue Jia; Margaret Roberts; Dashun Wang,2026,National Bureau of Economic Research,WP,10.3386/w34789,0,"T4, T5",core,大规模RCT揭示地缘政治对科研评审的系统性偏见：与德国合作提案获68%政策制定者支持vs中国仅28%。科学家自身也存在18百分点惩罚(48% vs 30%)——尽管应为merit-based评审。该惩罚在各学科和受访者特征间高度一致，指向地缘政治偏见而非学科特异性。,两组大规模RCT——美国政策制定者(policymakers)和美国科学家(U.S.-based scientists)，评审国际科研合作提案（随机替换合作方国籍：中国vs德国）,随机对照实验(RCT)——同一提案随机替换合作者所在国(中国vs德国)，测量支持率差异，检验各学科/受访者特征间的异质性,w34789,unread,2026-03-29
